INFO   | jvm 1    | main    | 2019/12/31 00:00:52.063 | 	at org.apache.commons.mail.Email.sendMimeMessage(Email.java:1459) ~[commons-email-1.5.jar:1.5]
INFO   | jvm 1    | main    | 2019/12/31 00:00:52.063 | 	... 9 more
INFO   | jvm 1    | main    | 2019/12/31 00:01:01.978 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] Sending news mails. Note that org.apache.commons.mail.send() can block if behind a firewall/proxy.
INFO   | jvm 1    | main    | 2019/12/31 00:01:01.978 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] No news items for today, skipping send of ranking mails
INFO   | jvm 1    | main    | 2019/12/31 00:01:11.994 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] Sending news mails. Note that org.apache.commons.mail.send() can block if behind a firewall/proxy.
INFO   | jvm 1    | main    | 2019/12/31 00:01:11.994 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] No news items for today, skipping send of ranking mails
INFO   | jvm 1    | main    | 2019/12/31 00:01:22.009 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] Sending news mails. Note that org.apache.commons.mail.send() can block if behind a firewall/proxy.
INFO   | jvm 1    | main    | 2019/12/31 00:01:22.009 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] No news items for today, skipping send of ranking mails
INFO   | jvm 1    | main    | 2019/12/31 00:01:32.024 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] Sending news mails. Note that org.apache.commons.mail.send() can block if behind a firewall/proxy.
INFO   | jvm 1    | main    | 2019/12/31 00:01:32.024 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] No news items for today, skipping send of ranking mails
INFO   | jvm 1    | main    | 2019/12/31 00:01:42.040 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] Sending news mails. Note that org.apache.commons.mail.send() can block if behind a firewall/proxy.
INFO   | jvm 1    | main    | 2019/12/31 00:01:42.040 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] No news items for today, skipping send of ranking mails
INFO   | jvm 1    | main    | 2019/12/31 00:01:52.056 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] Sending news mails. Note that org.apache.commons.mail.send() can block if behind a firewall/proxy.
INFO   | jvm 1    | main    | 2019/12/31 00:01:52.056 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] No news items for today, skipping send of ranking mails
INFO   | jvm 1    | main    | 2019/12/31 00:02:01.970 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] Sending news mails. Note that org.apache.commons.mail.send() can block if behind a firewall/proxy.
INFO   | jvm 1    | main    | 2019/12/31 00:02:01.970 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] No news items for today, skipping send of ranking mails
INFO   | jvm 1    | main    | 2019/12/31 00:02:11.984 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] Sending news mails. Note that org.apache.commons.mail.send() can block if behind a firewall/proxy.
INFO   | jvm 1    | main    | 2019/12/31 00:02:11.984 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] No news items for today, skipping send of ranking mails
INFO   | jvm 1    | main    | 2019/12/31 00:02:21.998 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] Sending news mails. Note that org.apache.commons.mail.send() can block if behind a firewall/proxy.
INFO   | jvm 1    | main    | 2019/12/31 00:02:21.998 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] No news items for today, skipping send of ranking mails
INFO   | jvm 1    | main    | 2019/12/31 00:02:32.013 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] Sending news mails. Note that org.apache.commons.mail.send() can block if behind a firewall/proxy.
INFO   | jvm 1    | main    | 2019/12/31 00:02:32.013 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] No news items for today, skipping send of ranking mails
INFO   | jvm 1    | main    | 2019/12/31 00:02:42.030 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] Sending news mails. Note that org.apache.commons.mail.send() can block if behind a firewall/proxy.
INFO   | jvm 1    | main    | 2019/12/31 00:02:42.030 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] No news items for today, skipping send of ranking mails
INFO   | jvm 1    | main    | 2019/12/31 00:02:52.045 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] Sending news mails. Note that org.apache.commons.mail.send() can block if behind a firewall/proxy.
INFO   | jvm 1    | main    | 2019/12/31 00:02:52.045 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] No news items for today, skipping send of ranking mails
INFO   | jvm 1    | main    | 2019/12/31 00:03:02.059 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] Sending news mails. Note that org.apache.commons.mail.send() can block if behind a firewall/proxy.
INFO   | jvm 1    | main    | 2019/12/31 00:03:02.059 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] No news items for today, skipping send of ranking mails
INFO   | jvm 1    | main    | 2019/12/31 00:03:12.075 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] Sending news mails. Note that org.apache.commons.mail.send() can block if behind a firewall/proxy.
INFO   | jvm 1    | main    | 2019/12/31 00:03:12.075 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] No news items for today, skipping send of ranking mails
INFO   | jvm 1    | main    | 2019/12/31 00:03:22.091 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] Sending news mails. Note that org.apache.commons.mail.send() can block if behind a firewall/proxy.
INFO   | jvm 1    | main    | 2019/12/31 00:03:22.091 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] No news items for today, skipping send of ranking mails
INFO   | jvm 1    | main    | 2019/12/31 00:03:32.004 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] Sending news mails. Note that org.apache.commons.mail.send() can block if behind a firewall/proxy.
INFO   | jvm 1    | main    | 2019/12/31 00:03:32.004 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] No news items for today, skipping send of ranking mails
INFO   | jvm 1    | main    | 2019/12/31 00:03:42.018 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] Sending news mails. Note that org.apache.commons.mail.send() can block if behind a firewall/proxy.
INFO   | jvm 1    | main    | 2019/12/31 00:03:42.018 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] No news items for today, skipping send of ranking mails
INFO   | jvm 1    | main    | 2019/12/31 00:03:52.032 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] Sending news mails. Note that org.apache.commons.mail.send() can block if behind a firewall/proxy.
INFO   | jvm 1    | main    | 2019/12/31 00:03:52.032 | INFO  [sendNewsCronJob::de.hybris.platform.servicelayer.internal.jalo.ServicelayerJob] (sendNewsCronJob) [SendNewsJob] No news items for today, skipping send of ranking mails
