INFO   | jvm 1    | main    | 2019/12/27 19:00:35.089 | INFO  [localhost-startStop-4] [hybrisserver] OS:          Linux 4.15.0-72-generic, amd64
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.089 | INFO  [localhost-startStop-4] [hybrisserver] Database:    Pool: hybris - hsqldb, table prefix: 
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.089 | INFO  [localhost-startStop-4] [hybrisserver]              SA - jdbc:hsqldb:file:/home/jp/Documentos/sap/sap/hybris/data/hsqldb/mydb;shutdown=true;hsqldb.tx=MVCC;hsqldb.log_size=256
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.089 | INFO  [localhost-startStop-4] [hybrisserver] Platform:    1905.6
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.089 | INFO  [localhost-startStop-4] [hybrisserver] Java:        Private Build
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.089 | INFO  [localhost-startStop-4] [hybrisserver]              OpenJDK Runtime Environment, 11.0.5+10-post-Ubuntu-0ubuntu1.118.04
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.089 | INFO  [localhost-startStop-4] [hybrisserver]              /usr/lib/jvm/java-11-openjdk-amd64
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.089 | INFO  [localhost-startStop-4] [hybrisserver] VM Locale:   language=es,country=AR,region=null
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.089 | INFO  [localhost-startStop-4] [hybrisserver] Cache:       RegionCache is not yet initialized. [de.hybris.platform.cache.impl.RegionCacheAdapter]
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.089 | INFO  [localhost-startStop-4] [hybrisserver] Server type: tomcat
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.089 | INFO  [localhost-startStop-4] [hybrisserver] 
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.089 | INFO  [localhost-startStop-4] [hybrisserver] *****************************************************************
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.089 | INFO  [localhost-startStop-4] [hybrisserver] 
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.089 | INFO  [localhost-startStop-4] [hybrisserver] ---------------------------------------------------------------
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.090 | INFO  [localhost-startStop-4] [hybrisserver] --- Extensions in dependency order ( options: 
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.090 | INFO  [localhost-startStop-4] [hybrisserver] ---  @deprecated: is deprecated, p: platform extension,*: auto-required 
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.090 | INFO  [localhost-startStop-4] [hybrisserver] ---  ?: lazy-loaded, i: got items.xml, b: got beans.xml, c: got core module 
